# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:39:58
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
6.57143260	-76.09758044
6.57875861	-76.25008267
6.58608463	-69.23122427
6.59341064	-76.33075780
6.60073665	-71.59534374
6.60806266	-70.14944231
6.61538867	-73.48454180
6.62271468	-68.56966692
6.63004070	-66.23582377
6.63736671	-83.30854333
6.64469272	-72.98239198
6.65201873	-65.11403047
6.65934474	-76.26641266
6.66667076	-68.30325542
6.67399677	-85.29185321
6.68132278	-66.85911706
6.68864879	-64.42155001
6.69597480	-70.10913765
6.70330081	-80.25679465
6.71062683	-73.85787003
6.71795284	-69.67831168
6.72527885	-69.04652452
6.73260486	-74.68668714
6.73993087	-69.08692291
6.74725689	-72.58249781
6.75458290	-80.27808598
6.76190891	-81.22004539
6.76923492	-75.30348035
6.77656093	-76.61210107
6.78388694	-77.96867347
6.79121296	-71.67503117
6.79853897	-76.86149431
6.80586498	-80.50558695
6.81319099	-75.81975960
6.82051700	-75.30550902
6.82784302	-68.02880866
6.83516903	-72.61533172
6.84249504	-79.75346483
6.84982105	-88.05032687
6.85714706	-74.82118933
6.86447307	-74.02305177
6.87179909	-74.73182558
6.87912510	-70.05726605
6.88645111	-94.86165975
6.89377712	-70.29778999
6.90110313	-69.79938461
6.90842915	-84.24224908
6.91575516	-71.62728107
6.92308117	-75.73087270
6.93040718	-70.18315081
6.93773319	-70.46965337
6.94505920	-75.42615096
6.95238522	-85.72025196
6.95971123	-77.22070099
6.96703724	-72.64288262
6.97436325	-70.65775457
6.98168926	-79.62163722
6.98901528	-75.32755390
6.99634129	-78.77136375
7.00366730	-74.60541177
7.01099331	-73.23348137
7.01831932	-80.74339860
7.02564533	-82.76903960
7.03297135	-71.98978085
7.04029736	-70.97475668
7.04762337	-67.25313877
7.05494938	-72.75184400
7.06227539	-79.78937635
7.06960141	-68.72043771
7.07692742	-70.43935959
7.08425343	-72.65772917
7.09157944	-67.87866194
7.09890545	-71.60378117
7.10623146	-75.19839695
7.11355748	-79.62478069
7.12088349	-73.36626786
7.12820950	-75.22787253
7.13553551	-64.62857563
7.14286152	-72.06487672
7.15018754	-91.73152020
7.15751355	-70.78503789
7.16483956	-79.05131689
7.17216557	-67.58126925
7.17949158	-74.06419402
7.18681759	-68.85673888
7.19414361	-78.70205088
7.20146962	-70.72060936
7.20879563	-74.81199422
7.21612164	-85.07427512
7.22344765	-70.40747587
7.23077367	-80.94132898
7.23809968	-71.92187497
7.24542569	-74.62340150
7.25275170	-77.22402040
7.26007771	-68.10286114
7.26740372	-71.35782872
7.27472974	-80.61384671
7.28205575	-68.62116092
7.28938176	-75.18317945
7.29670777	-74.84461759
7.30403378	-80.13397321
7.31135980	-74.33026663
7.31868581	-77.91562181
7.32601182	-70.55834557
7.33333783	-82.10691524
7.34066384	-67.84633199
7.34798985	-77.59841338
7.35531587	-86.14084835
7.36264188	-74.51274743
7.36996789	-69.54266838
7.37729390	-68.25317447
7.38461991	-79.42317818
7.39194593	-69.06184781
7.39927194	-69.82326190
7.40659795	-70.18284140
7.41392396	-73.48021589
7.42124997	-75.90938866
7.42857598	-67.70387769
7.43590200	-74.49378132
7.44322801	-73.11137257
7.45055402	-78.70906352
7.45788003	-70.53139453
7.46520604	-71.79542386
7.47253206	-73.24653432
7.47985807	-80.48048753
7.48718408	-83.97631493
7.49451009	-84.55218852
7.50183610	-79.35396917
7.50916211	-68.18907854
7.51648813	-71.55252723
7.52381414	-77.02877025
7.53114015	-73.01078294
7.53846616	-74.10060389
