# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:21:57
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
6.12454588	-76.39443534
6.13187189	-80.94292879
6.13919790	-71.31595414
6.14652392	-68.90955028
6.15384993	-64.34667587
6.16117594	-74.41024937
6.16850195	-71.10067779
6.17582796	-70.01949185
6.18315398	-68.30228499
6.19047999	-73.64971263
6.19780600	-70.25639177
6.20513201	-86.54935688
6.21245802	-70.68811110
6.21978403	-76.17943566
6.22711005	-88.99595469
6.23443606	-72.08780574
6.24176207	-76.70749828
6.24908808	-70.89339402
6.25641409	-69.65102824
6.26374011	-71.12520080
6.27106612	-73.04157857
6.27839213	-67.27685796
6.28571814	-69.72913081
6.29304415	-71.75064769
6.30037016	-70.19301295
6.30769618	-77.18023837
6.31502219	-88.04185078
6.32234820	-74.95621970
6.32967421	-74.89799923
6.33700022	-83.04005831
6.34432624	-81.82226995
6.35165225	-77.18245417
6.35897826	-72.75585405
6.36630427	-70.88784703
6.37363028	-71.17363215
6.38095629	-73.85654615
6.38828231	-68.66659397
6.39560832	-68.71250734
6.40293433	-71.54796203
6.41026034	-69.85002641
6.41758635	-77.40452927
6.42491237	-74.27710800
6.43223838	-79.79160880
6.43956439	-73.67895785
6.44689040	-76.84120959
6.45421641	-73.57032368
6.46154242	-78.36703295
6.46886844	-80.89828254
6.47619445	-71.37756864
6.48352046	-69.83154078
6.49084647	-68.51575971
6.49817248	-66.66598283
6.50549850	-72.95568504
6.51282451	-70.63346743
6.52015052	-70.90094566
6.52747653	-69.19768459
6.53480254	-69.18758242
6.54212855	-80.17719952
6.54945457	-72.16881113
6.55678058	-71.89051684
6.56410659	-68.18058650
6.57143260	-79.49901217
6.57875861	-84.50878570
6.58608463	-71.47140427
6.59341064	-71.30489068
6.60073665	-66.66243488
6.60806266	-73.53538735
6.61538867	-69.93891005
6.62271468	-70.87814964
6.63004070	-71.56091783
6.63736671	-73.24086128
6.64469272	-70.03774073
6.65201873	-69.91395070
6.65934474	-83.05772275
6.66667076	-64.29181102
6.67399677	-63.13077055
6.68132278	-71.61272707
6.68864879	-84.55311642
6.69597480	-66.16834177
6.70330081	-70.94762265
6.71062683	-75.25082604
6.71795284	-67.19494432
6.72527885	-87.58206461
6.73260486	-75.06146326
6.73993087	-75.23272899
6.74725689	-74.21893351
6.75458290	-66.34455102
6.76190891	-73.65253033
6.76923492	-74.25893245
6.77656093	-71.31761482
6.78388694	-93.32212028
6.79121296	-68.75112586
6.79853897	-76.31782989
6.80586498	-81.45805037
6.81319099	-82.15236502
6.82051700	-74.64702134
6.82784302	-73.47118932
6.83516903	-70.91217465
6.84249504	-67.86628289
6.84982105	-81.80252011
6.85714706	-69.83222727
6.86447307	-65.39094724
6.87179909	-67.07116652
6.87912510	-74.19291150
6.88645111	-79.57442082
6.89377712	-71.69488429
6.90110313	-77.55531709
6.90842915	-83.89658426
6.91575516	-74.80834740
6.92308117	-78.48573147
6.93040718	-67.78138126
6.93773319	-76.21381254
6.94505920	-75.68659308
6.95238522	-70.87004834
6.95971123	-72.53542785
6.96703724	-74.20902547
6.97436325	-84.19273774
6.98168926	-77.31091512
6.98901528	-76.76059926
6.99634129	-81.46523126
7.00366730	-72.64300046
7.01099331	-71.78358248
7.01831932	-77.33631464
7.02564533	-68.06190337
7.03297135	-73.16577199
7.04029736	-85.45966205
7.04762337	-76.05354213
7.05494938	-73.45014453
7.06227539	-74.40327111
7.06960141	-68.70370649
7.07692742	-70.68007671
7.08425343	-74.21260701
7.09157944	-77.33391335
7.09890545	-78.54480763
7.10623146	-70.91179783
7.11355748	-69.65740537
7.12088349	-75.40119795
7.12820950	-72.39237466
7.13553551	-73.64764624
7.14286152	-67.42421557
7.15018754	-76.22729521
7.15751355	-85.57007005
7.16483956	-67.99583810
7.17216557	-77.91346210
7.17949158	-68.03758536
7.18681759	-68.76824404
7.19414361	-69.82791887
7.20146962	-68.24566507
7.20879563	-71.04317116
7.21612164	-83.45413066
7.22344765	-81.37686504
7.23077367	-74.15539804
7.23809968	-84.09235521
7.24542569	-68.30581690
7.25275170	-75.23909065
7.26007771	-74.08906743
7.26740372	-79.24908937
7.27472974	-73.23436080
